trade_id,timestamp,underlying,expiry,strike,option_type,side,quantity,price,reason
116,2022-11-01 10:23:40,BANKNIFTY,2022-11-03,41700,PE,BUY,1,347.55,ATM_ENTER_41700
117,2022-11-01 10:24:31,BANKNIFTY,2022-11-03,41700,CE,SELL,1,258.60,ATM_SHIFT_41700->41800
118,2022-11-01 10:24:31,BANKNIFTY,2022-11-03,41700,PE,SELL,1,343.15,ATM_SHIFT_41700->41800
119,2022-11-01 10:24:31,BANKNIFTY,2022-11-03,41800,CE,BUY,1,213.75,ATM_ENTER_41800
120,2022-11-01 10:24:31,BANKNIFTY,2022-11-03,41800,PE,BUY,1,399.00,ATM_ENTER_41800
121,2022-11-01 10:24:39,BANKNIFTY,2022-11-03,41800,CE,SELL,1,212.15,ATM_SHIFT_41800->41700
122,2022-11-01 10:24:39,BANKNIFTY,2022-11-03,41800,PE,SELL,1,399.05,ATM_SHIFT_41800->41700
123,2022-11-01 10:24:39,BANKNIFTY,2022-11-03,41700,CE,BUY,1,257.75,ATM_ENTER_41700
124,2022-11-01 10:24:39,BANKNIFTY,2022-11-03,41700,PE,BUY,1,344.40,ATM_ENTER_41700
125,2022-11-01 10:25:19,BANKNIFTY,2022-11-03,41700,CE,SELL,1,259.25,ATM_SHIFT_41700->41800
126,2022-11-01 10:25:19,BANKNIFTY,2022-11-03,41700,PE,SELL,1,344.95,ATM_SHIFT_41700->41800
127,2022-11-01 10:25:19,BANKNIFTY,2022-11-03,41800,CE,BUY,1,214.25,ATM_ENTER_41800
128,2022-11-01 10:25:19,BANKNIFTY,2022-11-03,41800,PE,BUY,1,400.95,ATM_ENTER_41800
129,2022-11-01 10:25:22,BANKNIFTY,2022-11-03,41800,CE,SELL,1,214.05,ATM_SHIFT_41800->41700
130,2022-11-01 10:25:22,BANKNIFTY,2022-11-03,41800,PE,SELL,1,400.00,ATM_SHIFT_41800->41700
131,2022-11-01 10:25:22,BANKNIFTY,2022-11-03,41700,CE,BUY,1,259.40,ATM_ENTER_41700
132,2022-11-01 10:25:22,BANKNIFTY,2022-11-03,41700,PE,BUY,1,345.25,ATM_ENTER_41700
